intent,question,answer,filename
app_answers_detail_a_id_1754_kw_timetable,What can I take into my exam and what will I need?,"These are the only items allowed into an exam venue (unless stated otherwise): Student ID card (required) Wallet / wallet-sized purse Pens, pencils, erasers and rulers (loose or in a clear plastic bag) Water bottle (clear plastic, preferably with a pop-top lid) Sweets If you have COVID, are a COVID close-contact or have flu-like symptoms please do not attend your on campus exam. You can defer your exam and will not be disadvantaged. Find this form on the Student Portal Forms page. Mobile phones and smart devices, including smart watches, are not permitted in University exam venues. This includes off-campus and off-shore venues. We do not have security storage options for personal belongings that are not able to be taken into the exam room, so it is best to leave these items at home or in a safe place. If you have a medical condition which means you need access to food / drink / medication during your exam, you may apply for alternative arrangements. Bringing unauthorised materials in an exam is a breach of Academic Integrity and penalties apply (see Academic Integrity and the Student Academic Integrity Ordinance ). Online exams. What do I need to know?",app_answers_detail_a_id_1754_kw_timetable.html
app_answers_detail_a_id_2544_kw_timetable,Online exams. What do I need to know?,"Online Exam (Supervised). This is an exam completed in MyLO with Respondus Lockdown Browser and Monitor and supervised just like on campus exams. Online Test. This is an assessment you'll complete in MyLO within a set time. Take Home Exam. This is an assessment to be completed online in MyLO. The 'Exam session' is the full amount of time scheduled for the exam including buffer time in case of technical difficulties. The 'Exam duration' is how long you have to complete the actual exam. The 'Working time' is the timer in MyLO displaying the amount of time left in the exam. Google Chrome as your browser. Your student ID card. A webcam and microphone (for supervised exams) Install the Respondus LockDown Browser and Monitor software (for supervised exams). Follow these steps if you have a technical issue during the exam: Take a screen-shot or photo of the problem. Close out of both MyLO and your browser window and then restart your computer. If above doesn't work contact your Unit Coordinator. If you wish to sit your exam at a different campus, you can apply using the 'Application to sit an Examination at an Alternative Campus' eForm. If you live more than 100km from a University of Tasmania campus, you can choose to either nominate a campus or be given a supervised online exam.",app_answers_detail_a_id_2544_kw_timetable.html
app_answers_detail_a_id_1786_kw_timetable,What can I do if I think the grade I received is unfair?,"If you believe the grade you received for a unit or assessment doesn't reflect your performance, there are a number of steps you can take. Contact your tutor or unit coordinator and arrange a time to meet and discuss your result. If you don't hear back within five working days or are unsatisfied after speaking with them, contact your school directly. If you are querying a final exam result, you can request to view your exam paper and are entitled to a copy. The next steps will depend on whether you are seeking to get a review of an assessment grade or a review of your final grade. Individual assessment or exam For an individual assignment, assessment or exam: Apply for a 'Request for a review of assessment' via the Student Forms page in the Student Portal and send it to your course coordinator. There are two stages for the Review of Assessment: Stage 1: Is if you are unhappy with the outcome of an individual marked assessment task or exam and would like to request a review. This form is submitted to your Unit Coordinator and must be submitted within 10 business days of your mark being released. Stage 2: Is if you are still unhappy with the outcome of an individual marked assessment task or exam and would like to request a further review. Please contact UConnect by email if you would like to request a further review (U. Connect@utas. edu. au). Outcomes: Both stage 1 and 2 will see you receive an outcome within 10 business days of submitting the request. Academic grounds example: The marking criteria used was different to the criteria you were provided with for the assessment. Procedural grounds example: There was a miscalculation when adding up your result or an item was left out of the calculation. You believe the review process was irregular or unfair; or New information has become available that could not be provided at the time of review.",app_answers_detail_a_id_1786_kw_timetable.html
app_answers_detail_a_id_1746_kw_timetable,What happens if I have a Learning Access Plan (LAP) during exams?,"If you have alternative exam arrangements in place as part of your Learning Access Plan (LAP), this is taken into account in the timetabling of exams. You will be sent an email with your specific details. If you have any concerns or wish to discuss this, please contact your Accessibility Adviser or UConnect. Online exams. What do I need to know?",app_answers_detail_a_id_1746_kw_timetable.html
app_answers_detail_a_id_1748_kw_timetable,What do my result codes mean?,"The most common result codes are: PP = Pass CR = Credit DN = Distinction HD = High distinction NN = Failure NS = Failure, supplementary exam granted WT = Withheld WN = Withdrawn/fail WW = Withdrawn without fail PP = Pass CR = Credit DN = Distinction HD = High distinction NN = Failure NS = Failure, supplementary exam granted WT = Withheld WN = Withdrawn/fail WW = Withdrawn without fail Can't see a code above? View the full list of result codes in your Student Portal or by checking the Assessment and Results Procedure. If you see 'WT' on your Academic Transcript this often means your results are 'withheld' because results have not yet been reported for the unit. You can contact your Unit Coordinator to discuss why this might be the case. If you are an Outbound Cross Institutional Student (taking units at another institution to be counted toward your University of Tasmania degree) you might see a WT grade code if you have not yet provided your results to us.",app_answers_detail_a_id_1748_kw_timetable.html
app_answers_detail_a_id_1263_kw_timetable,What do I do if I can not attend my exam?,"To apply: Go to the Exam forms page in the Student Portal Download the ' Deferred Examination Application ' Complete the form and email to u. connect@utas. edu. au (no later than three working days after the exam). If you already sat the exam and would like your circumstances to be taken into account you can apply for 'Special consideration in the marking of Exams'. Find the special consideration form in the Exam forms page in the Student Portal. If you are suffering from flu-like symptoms on the day of your exam, please do not attend. You can use the 'Deferred Examination Application' (above) and you will not be disadvantaged. Online exams. What do I need to know?",app_answers_detail_a_id_1263_kw_timetable.html
app_answers_detail_a_id_1095_kw_timetable,Can a fail grade be removed from my academic transcript?,"Under normal circumstances, fail grades can't be removed from your academic transcript. We are required to release transcripts with all unit results. However, if you were unable to complete units due to extenuating circumstances, you may be able to apply for 'Withdrawal Without Academic Penalty'. Carefully read through and complete the Removal of Debt and Academic Penalty Form (via the Student Forms page ). If you need assistance with this process or have ongoing issues affecting your study please contact your Student Adviser.",app_answers_detail_a_id_1095_kw_timetable.html
app_answers_detail_a_id_1752_kw_timetable,What do I do if I have two exams on at the same time?,"It's very rare for two formal exams to be scheduled for the same time on your timetable but if you identify a clash, contact UConnect as soon as possible by email at U. Connect@utas. edu. au. We will move one of the exams either to the morning or the afternoon and you will receive an email explaining what we have done. Online exams. What do I need to know?",app_answers_detail_a_id_1752_kw_timetable.html
app_answers_detail_a_id_2545_kw_timetable,Which online units will be available in MyTimetable?,"MyTimetable is primarily for on-campus units, however timetable information for some online units is also available. Check the online units that are included in MyTimetable for in 2025 below. Scroll for Semester 2, 2025: Semester 1 2025",app_answers_detail_a_id_2545_kw_timetable.html
app_answers_detail_a_id_1747_kw_timetable,Information about exams for students from other Institutions,"We can run exams for students of other tertiary institutions (Australian or overseas), professional accreditation bodies, and training colleges throughout the year in Hobart, Launceston and Cradle Coast. Online exams. What do I need to know?",app_answers_detail_a_id_1747_kw_timetable.html
app_answers_detail_a_id_1536_kw_timetable,What should I do if I fail a pre-requisite unit?,"​ You will need to re-enrol in the unit if it is a core (required) unit for your course. You can find detailed unit information, including availabilities, in the Course and Unit Handbook and in your course planner in your Student Portal. If you would like some advice about your study plan and unit options, please contact UConnect or speak with a Student Adviser.",app_answers_detail_a_id_1536_kw_timetable.html
app_answers_detail_a_id_1089_kw_timetable,How do I provide my academic results if I am a cross-institutional student?,"If you are studying units at the University of Tasmania, you will need to provide your home institution with a copy of your Official Academic Transcript. If you are studying units at another institution that will be counted towards a University of Tasmania degree, you will need to provide us with your official academic transcript (original, certified copy, or secure digital copy ). We are unable to obtain this document on your behalf. You will see a WT grade code if you have not yet provided your results to us. For more detail, visit the Learning Abroad page in your Student Portal.",app_answers_detail_a_id_1089_kw_timetable.html
app_answers_detail_a_id_1974_kw_timetable,What public transport is available?,"Transport options across our campuses can be found on Unimaps. Hobart / Sandy Bay campus The free UniHopper runs throughout the day to get you between our Hobart City locations, the Sandy Bay campus and accommodation. UniHopper Timetable All Tasmanian campuses Metro buses run very frequently between Hobart, Launceston and Cradle Coast campuses and their city centres, and also offer suburban services directly from some campuses. Access timetables via the Metro website. If taking public transport, using a Greencard is the most convenient way to pay for bus travel. Apply and find out more on the Metro Greencard website. Launceston intercampus bus Metro provides a free service for students and staff travelling between Newnham and Inveresk campus, including the city and Launceston General Hospital. Find more details here. Sydney campus There are buses and trains that go to Lilyfield. I am a primary carer - is there any support available to me?",app_answers_detail_a_id_1974_kw_timetable.html
app_answers_detail_a_id_2448_kw_timetable,What is the Student Portal?,"The Student Portal is your one-stop-shop for everything you'll need at university. Some of the things you can do in the Student Portal include: Gateway to all university systems (Webmail, MyLO, Timetable, eStudent) Student admin (ID Card, exam timetable, results) Student news and events Alerts and notifications Learning and academic skills development services Booking appointments",app_answers_detail_a_id_2448_kw_timetable.html
app_answers_detail_a_id_2602_kw_timetable,Does the University of Tasmania offer Airport Pickups?,"Campus Shuttle Services While we don't offer airport pickups, we do have campus shuttle services. In the South, the UniHopper bus service operates throughout the day, connecting Hobart City locations, the Sandy Bay campus, and accommodation sites. In the North, the Intercampus Bus provides free transport for students and staff between the Newnham campus, Inveresk campus, and the city. Timetables for these services can be found on our Getting Around page.",app_answers_detail_a_id_2602_kw_timetable.html
app_answers_detail_a_id_1244_kw_timetable,What is a unit code?,The unit code is the three letter and three number identifier assigned to each unit. eg The unit code for Introduction to Management is BMA101. eg The unit code for Introduction to Management is BMA101. Your timetable will list your units by code; and Unit codes may be used in place of the full unit titles in communications with you. Your timetable will list your units by code; and Unit codes may be used in place of the full unit titles in communications with you.,app_answers_detail_a_id_1244_kw_timetable.html
app_answers_detail_a_id_1532_kw_timetable,What are Study Periods?,"Study periods are set times throughout the year in which you will study. The University of Tasmania has a variety of study periods. The major ones are: Semester 1 and 2 Trimester (Accelerated Study Periods) Terms 1, 2, 3 and 4 Summer - starts January or February Winter - starts April, May or June Spring - starts October or November Each study period has its own key dates for things such as Census Date, exams, timetables, results release dates and fee payment deadlines.",app_answers_detail_a_id_1532_kw_timetable.html
app_answers_detail_a_id_1131_kw_timetable,How do I find my way around campus?,"The 'Getting Around - UniMaps' tile on our Uni App; Through your web browser; and Through location links on your timetable - so you can easily find where your class is. Classrooms; Student Lounges; Coffee and Food; Toilets; and more! I feel unsafe on campus, what should I do?",app_answers_detail_a_id_1131_kw_timetable.html
app_answers_detail_a_id_1128_kw_timetable,What is eStudent?,eStudent is the system where you will manage the administrative aspects of your study including: Enrolling in units Updating your contact details Accessing your exams timetable and Viewing your graduation eligibility Access eStudent directly or via your Student Portal.,app_answers_detail_a_id_1128_kw_timetable.html
app_answers_detail_a_id_1245_kw_timetable,Can I get into a unit that is already full?,"If you can't enrol yourself in a unit because it has reached its quota (maximum number of students), contact the unit coordinator to check if it is still possible for you to enrol. If the unit coordinator approves your enrolment, forward their approval email to u. connect@utas. edu. au. It may take a couple of days for you to then be enrolled.",app_answers_detail_a_id_1245_kw_timetable.html
app_answers_detail_a_id_1254_kw_enrol,Can Ienrollate or change myenrolment?,"If withdrawing entirely, you can do this up until census date without being responsible for the unit fees. Some units don’t offer the option for late enrolment. Check this with your unit coordinator. First you will need to withdraw from the unit you no longer want to be enrolled in Then you follow the steps to enrol in the unit you want to be enrolled in. Withdraw from the unit, then, Re-enrol in the unit under the correct course. I can't enrol, what do I do? I am waiting on the outcome of my credit application. Do I still need to enrol?",app_answers_detail_a_id_1254_kw_enrol.html
app_answers_detail_a_id_1213_kw_enrol,Have questions aboutenrollingin your first year units?,"Walk-in enrolment support Need help? Our Student Service teams are available every day for walk-in, face-to-face support at some of our libraries and student centres. We will also have additional staff available in the lead up to the first semester. Check out our walk-in support below: Time: 9am - 4pm Location: Morris Miller Library (In the foyer) No registration is required. Time: 9am - 4pm Location: Inveresk Library (In the foyer) Online enrolment support webinars Need help enrolling in your course units? Join one of our webinars designed to walk you through everything you need to know about enrolling to ensure you kick-start your studies right. You'll learn: How to access and navigate the eStudent system Step by step guidance on the enrolment in unit process Answers to common questions about enrolment Live troubleshooting for any enrolment issues Date: Tuesday 8 July Time: 5: 30pm - 6: 30pm Need help? Contact our enrolment team: Email us at course. info@utas. edu. au Call 13 8827 (13 UTAS) / +61 3 6226 6200 between 9am and 5pm, Monday to Friday. Other useful enrolment resources: Check out the Enrolment page in your Student Portal I can't enrol, what do I do?",app_answers_detail_a_id_1213_kw_enrol.html
app_answers_detail_a_id_1235_kw_enrol,How do Ienrol?,"It's time to enrol! To prepare, make sure you: Know your course. Find your course information in the Course and Unit Handbook by searching your course code or name. Locate your course planner pdf in your course information page to find out which units to enrol in. If you are eligible and want to defer fees to a HELP Loan you'll need your Tax File Number. Apply here if you don’t have one already. Get your Unique Student Identifier (USI). Don’t have one? Create one today - it only takes 5 minutes. Complete your pre-enrolment tasks in ‘MyTasks’ in eStudent. To enrol in your units, follow these steps: Log into eStudent, we advise the use of a laptop/computer for your enrolment process as smaller devices will not display the required pages correctly. Go to the ‘MyStudy’ tab, Select ‘Manage my Course’ and add your major and any other units to your study plan. Use the ‘view’ option to check when and where each unit will be available. Select ‘Plan and enrol ’ to schedule these units to a study period (e. g. , add unit KEA101 to ‘2024 Semester 1’). Located in the top left-hand corner of the screen. Once you have your units scheduled, click ' Enrol ' to enrol in all the units for that study period. You will then be able to select the location of your units. Click 'Manage my Course' again to check your enrolment. If you need to make changes to your units after you have enrolled, you will need to withdraw from your unit and then enrol again. If you have missed any key tasks, you will be prompted to complete them before you can enrol. For more detailed assistance follow this step-by-step eStudent Enrolment Guide or the instructional video below. How to Enrol in a Unit: You're responsible for making sure your enrolment is correct on or before the census date for each study period, so it is better for you to enrol yourself in your units rather than asking university staff. However, in some cases, self-enrolment is not possible: This may be due to the type of unit (e. g. , practical placement or professional experience), your status as a student (e. g. , you may be on a restricted study load or your course doesn't allow for self-enrolment), or if there is a system or administration issue. If you are having problems with self-enrolling, contact us at course. info@utas. edu. au or phone 138827 (13 UTAS) / +61 3 6226 6200 for assistance. Have questions about enrolling in your first year units? I can't enrol, what do I do?",app_answers_detail_a_id_1235_kw_enrol.html
app_answers_detail_a_id_1243_kw_enrol,Can Ienrolin more than 4 units?,"A full-time study load (50 credit points) for one study period can look like this: 4 x 12. 5 credit point units 2 x 25 credit point units You need formal approval to take an overload (study units worth more than 50 credit points during a single study period). If you are enrolled in a full-time study load (50 credit points) and you want to enrol in an extra unit for that study period, contact UConnect to discuss your individual circumstances and find out if you are eligible to apply for an overload. If your request is approved, you will be manually enrolled in the extra unit. Thinking about enrolling in more than one course at the same time? Can I manage the study load? When studying under two courses, your assessment deadlines may overlap. Think carefully about your current commitments (e. g. work or family) and whether you have sufficient time to commit to study. Can I withdraw from units if I change my mind? Yes, but you need to know the key dates for the study period you want to enrol in – in particular, the census date and the last date to withdraw without getting a fail result. Can I enrol in more than 50 credit points? You need formal approval for an enrolment overload in a single study period or in study periods that overlap. Note - approval for an overload does not guarantee you will receive extensions for assessments. Contact UConnect to discuss your individual circumstances and apply. I can't enrol, what do I do? I am waiting on the outcome of my credit application. Do I still need to enrol?",app_answers_detail_a_id_1243_kw_enrol.html
app_answers_detail_a_id_1709_kw_enrol,I am waiting on the outcome of my credit application. Do I still need toenrol?,"It is best to enrol in your units even if you are still waiting on the outcome of your credit application. Credit applications can take 2 - 4 weeks to assess, so make sure you apply well before the start of the study period. If your application is unsuccessful and you haven't enrolled in the unit/s, you risk missing the deadline to enrol. If credit is granted after you have commenced study (and before the census date for your study period) you will be automatically withdrawn from the unit/s without any academic or financial penalty. If your application for credit is late, or credit is granted after the census date for your study period, please contact UConnect for assistance. If I get credit, can I enrol in a different unit? New enrolment will depend on how far into the study period it is when your credit is approved. In most cases, you can withdraw and self-enrol in a different unit until Monday of week 3 for the main semesters, or the end of week 1 for other study periods. After this you must get permission for late enrolment. Please note, it may be too late to change your enrolment to a different unit once the study period is underway. I can't enrol, what do I do?",app_answers_detail_a_id_1709_kw_enrol.html
app_answers_detail_a_id_1780_kw_enrol,How can I get anEnrolmentConfirmation letter?,"You might need a letter confirming your enrolment for organisations such as Centrelink. To get your enrolment confirmation follow these steps: Log into eStudent; Navigate to the 'MyStudy' tab; select 'Manage my course'; Select the 'Transcripts and Invoices' option on the left hand side; then Click on the red 'Request' button against ' Enrolment Confirmation'. This will generate an enrolment summary report and email it to your University of Tasmania email account. If you are an international student and would like to request supporting letters for VISA applications or work entitlement purposes, please complete this form or contact your International Student Advisers. If you're enrolled through Open Universities Australia, please check your enrolment details and request a statement of enrolment via your Open Universities Australia Student Hub. If you need more information, please contact UConnect Please note that what the University considers full-time study may not be the same as Centrelink's definition - if in doubt, please check with Centrelink about their requirements. I can't enrol, what do I do? Have questions about enrolling in your first year units?",app_answers_detail_a_id_1780_kw_enrol.html
app_answers_detail_a_id_1529_kw_enrol,How can I check myenrolment?,"To check which units you are enrolled in: Log into eStudent, then Select the 'MyStudy' tab, which will give you an overview of all the units ( enrolled, passed, unscheduled) on your study plan. If you have more than one course listed, first click 'Manage my course'. If you need a letter confirming your current enrolment (for Centrelink or for an employer), please visit How can I get an Enrolment Confirmation letter (for Centrelink etc)? I can't enrol, what do I do? I am waiting on the outcome of my credit application. Do I still need to enrol?",app_answers_detail_a_id_1529_kw_enrol.html
app_answers_detail_a_id_1240_kw_enrol,"I can'tenrol, what do I do?","Enrolment troubleshooting: Follow these enrolment steps Check anything you need to do in MyTasks in eStudent Watch the enrolment video Go through the eStudent Enrolment Guide​ Make sure you have completed any pre-requisites - click on the unit in the MyStudy tab in eStudent to check if the unit has any pre-requisites. Are you starting your degree? Make sure you have met any conditions on your letter of offer. Still having difficulty? Contact UConnect on 13 8827 (13 UTAS) / +61 3 6226 6200 or via the Online Contact Form. If you contact UConnect via the form or email, please include a screen shot or copy and paste any error message as this will help us identify the issue and assist you. I am waiting on the outcome of my credit application. Do I still need to enrol?",app_answers_detail_a_id_1240_kw_enrol.html
app_answers_detail_a_id_1729_kw_enrol,What do I do if my Confirmation ofEnrolment(CoE) is about to expire but I haven’t finished my degree?,"You can apply to extend your Confirmation of Enrolment (CoE) using the Confirmation of Enrolment Extension form. Complete sections 1 - 4 of the form and email it to U. Connect@utas. edu. au along with supporting documentation and a statement explaining why you need to extend your CoE. We will work out your new course end date, and if approved, you will be sent your new CoE via email. You can then use the Department of Home Affairs Document Checklist Tool to find out which other documents need to be attached to your application for a new student visa. I can't enrol, what do I do?",app_answers_detail_a_id_1729_kw_enrol.html
app_answers_detail_a_id_1218_kw_enrol,How do Ienrolas a cross-institutional student?,"University of Tasmania students applying to study at another institution: Cross-institutional study is only approved in certain circumstances, and you must receive approval before you apply to study with another institution to ensure that the unit you want to take is equivalent to your UTAS unit and can be counted towards your course. Approval to take a core or major unit by cross-institutional study may only be granted in limited circumstances. Check the Outbound Cross-Institutional Guidelines and Application Form (find this on the Forms page in your Student Portal ) to find out more about how to apply and contact UConnect if you have any questions about your options. Once you have identified the unit you want to take with another institution, you will need to submit your ‘outbound cross-institutional study form’ to UConnect. If your application is approved, you will need to contact your host institution to find out how to apply and enrol with them. Complete the ' Incoming Cross Institutional Application for Admission and Enrolment ' form (check the Guidelines for Incoming Cross-Institutional Admission and Enrolment for more information) Once you have been admitted and enrolled, if you are in a Commonwealth Supported Place, please ensure you then complete the ‘Request for Commonwealth Support and HECS-HELP’ eCAF in eStudent by the Census Date. I can't enrol, what do I do?",app_answers_detail_a_id_1218_kw_enrol.html
app_answers_detail_a_id_2063_kw_enrol,How do I know which units toenrolin?,"You can see the course structure overview in the Course and Unit Handbook for the year you started. Also in the Course and Unit Handbook is your 'course planner' which gives you more detail about what unit to enrol in. Tips: Unit level: Check you're enrolling in units at the correct level - e. g. , you may need to complete introductory units before moving on to the intermediate units. Pre-requisites: Some units may also have requirements (pre-requisites) that need to be met before you can enrol in them - e. g. , an intermediate unit that needs specific introductory units to be completed first. Plan out your study: It may help you to plan out all of your degree in eStudent. If you would like more specific enrolment help advice, contact UConnect or book in an appointment with your Student Advisers. I can't enrol, what do I do?",app_answers_detail_a_id_2063_kw_enrol.html
